text,emotion
I am feeling very anxious about my bank account.,Anxious
Stay focused on the goal.,Neutral
Friend,Happy
One step at a time.,Neutral
Emergency bills I cannot pay.,Crisis
Neutral sentence example,Neutral
Server is running on port 8080,Neutral
Keep calm and carry on,Neutral
I feel very thankful and blessed.,Grateful
I'm going to snap soon.,Angry
Friends have abandoned me during hard times.,Lonely
I feel worthless and invisible.,Worthless
Investment,Stressed
I am just a waste of space.,Worthless
I don't know how I will survive this month.,Crisis
I keep overthinking every little detail.,Anxious
Unemployment is really hitting me hard.,Stressed
A standard sentence for verification.,Neutral
Mean,Angry
I can't stop worrying about what might happen.,Anxious
The future feels scary.,Anxious
I appreciate the small things in life.,Grateful
Loan,Stressed
Inbox is empty,Neutral
I feel like a ghost.,Lonely
I have no money for living expenses.,Crisis
Lose,Sad
I am broken beyond repair.,Sad
Live,Happy
I feel so much resentment.,Angry
Nothing much is happening.,Neutral
Distance from others makes me feel so small.,Lonely
Pull request approved,Neutral
The life goes on,Neutral
A very neutral statement indeed,Neutral
"Okay, I understand.",Neutral
Failed,Worthless
I'm running on fumes and completely exhausted.,Stressed
There is a lamp on the table,Neutral
One moment please.,Neutral
The weather forecast says it might rain.,Neutral
Export to PDF,Neutral
This completely pisses me off.,Angry
Ugly,Sad
Like,Happy
Poor,Sad
I am learning and growing.,Neutral
I'm stressed and burned out.,Stressed
I have people who care about me.,Grateful
"My heart is racing, I feel panicked.",Anxious
Nothing out of the ordinary,Neutral
I am just here.,Neutral
Death,Sad
Sitting on a chair,Neutral
More or less,Neutral
I have some emails to answer.,Neutral
"Maybe yes, maybe no",Neutral
Sad,Sad
Scaling the microservices,Neutral
I have no support system.,Lonely
Enraged by the injustice I see.,Angry
I feel so drained after work.,Stressed
Everyone would be better off without me.,Worthless
Okay,Neutral
Bad,Sad
I'll never achieve anything of value.,Worthless
I am homeless and have no support.,Crisis
Fear,Crisis
The sun rises in the east.,Neutral
Working,Happy
Stabilizing the weights,Neutral
Winning,Happy
Sometimes I feel completely invisible.,Lonely
Sort by relevance,Neutral
Great,Happy
One day at a time,Neutral
I am heartbroken and grieving.,Sad
I am feeling very positive and cheerful.,Happy
I have money problems and it's heavily stressing me.,Stressed
Lacking,Stressed
My name is John.,Neutral
I am going to the store.,Neutral
No,Neutral
"Watch out, I'm in a terrible mood.",Angry
I am here to help.,Neutral
I'm tired but not stressed,Neutral
Tasks to complete,Neutral
Love,Happy
I'm constantly thinking about how to make ends meet.,Stressed
I feel tight in my chest.,Anxious
I wish I had someone to share my day with.,Lonely
Just a regular day,Neutral
In spite of,Neutral
It's hard to get out of bed.,Sad
I feel wonderful and optimistic!,Happy
I just want to cry all day.,Sad
Weekends are for rest,Neutral
I am physically alone and very lonely.,Lonely
Busy,Stressed
Calculating the best approach.,Neutral
Social events make me feel more isolated.,Lonely
Taxes,Stressed
I'm just passing time,Neutral
I feel uneasy and on edge constantly.,Anxious
Financial insecurity is keeping me up at night.,Anxious
I feel disconnected from everyone.,Lonely
Yes,Neutral
Silence is golden.,Neutral
Just more placeholder data for neutrality,Neutral
Everyone moved on without me.,Lonely
I am choosing to be positive.,Happy
Default settings applied.,Neutral
Missing,Sad
I have no one to talk to.,Lonely
I'm constantly checking if I made a mistake.,Anxious
The economic situation is terrifying.,Anxious
I am livid and bitter.,Angry
The uncertainty is driving my anxiety higher.,Anxious
I have a phone in my pocket.,Neutral
The light is dim,Neutral
Win,Happy
I feel so lonely and isolated.,Lonely
Storage is 90% full,Neutral
I feel so sad and depressed.,Sad
Loneliness is taking over.,Lonely
I have a plan to hurt myself.,Crisis
I am extremely fortunate.,Grateful
I feel uncertain about what's coming.,Anxious
I feel like I'm about to have a panic attack.,Anxious
I can't stop thinking about tomorrow's problems.,Anxious
I'm so angry at the world's unfairness.,Angry
